epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,545.978,0.6368,0.93092,0.90996,0.98578,0.97436,0.98763,0.84252,0.63405,0.64872,0.8885,0.00379468,0.00126489,0.00379468,0.00126489,0.00379468,0.00126489,0.00379468,0.00126489
31,563.507,0.60003,0.89698,0.89966,0.98444,0.97349,0.99062,0.83855,0.64333,0.65832,0.89104,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
32,581.073,0.65051,0.93588,0.91504,0.99084,0.9613,0.99333,0.85899,0.61752,0.6655,0.88563,0.00376073,0.00125358,0.00376073,0.00125358,0.00376073,0.00125358,0.00376073,0.00125358
33,598.696,0.61337,0.9319,0.91483,0.99559,0.97635,0.995,0.85097,0.62008,0.62671,0.88912,0.00374375,0.00124792,0.00374375,0.00124792,0.00374375,0.00124792,0.00374375,0.00124792
34,616.056,0.62798,0.93797,0.91201,0.99054,0.99785,0.995,0.84893,0.63607,0.61066,0.89644,0.00372677,0.00124226,0.00372677,0.00124226,0.00372677,0.00124226,0.00372677,0.00124226
35,633.43,0.62098,0.94488,0.92398,0.98586,0.99617,0.995,0.83248,0.66073,0.608,0.90637,0.0037098,0.0012366,0.0037098,0.0012366,0.0037098,0.0012366,0.0037098,0.0012366
36,650.992,0.5998,0.86481,0.90485,0.97368,0.9774,0.995,0.84713,0.63842,0.60476,0.90125,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
37,668.517,0.61786,0.85738,0.9117,0.99152,0.97729,0.995,0.84929,0.61532,0.57744,0.89199,0.00367585,0.00122528,0.00367585,0.00122528,0.00367585,0.00122528,0.00367585,0.00122528
38,685.938,0.61345,0.90045,0.9166,0.97042,0.98683,0.99333,0.83658,0.64023,0.6345,0.90019,0.00365887,0.00121962,0.00365887,0.00121962,0.00365887,0.00121962,0.00365887,0.00121962
39,703.502,0.57132,0.84813,0.90194,0.98365,0.97436,0.99333,0.83315,0.64107,0.56691,0.89827,0.00364189,0.00121396,0.00364189,0.00121396,0.00364189,0.00121396,0.00364189,0.00121396
40,720.959,0.62006,0.84576,0.91448,0.99323,0.97436,0.99333,0.84976,0.62445,0.58494,0.89128,0.00362492,0.00120831,0.00362492,0.00120831,0.00362492,0.00120831,0.00362492,0.00120831
41,738.293,0.59164,0.79143,0.8976,0.98827,0.97436,0.99333,0.84024,0.62364,0.5409,0.88808,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
42,755.66,0.59677,0.82907,0.91031,0.99543,0.97436,0.99333,0.8527,0.63882,0.53619,0.88927,0.00359096,0.00119699,0.00359096,0.00119699,0.00359096,0.00119699,0.00359096,0.00119699
43,773.195,0.58479,0.7924,0.8962,0.95789,0.99615,0.99333,0.83565,0.61586,0.52837,0.88481,0.00357399,0.00119133,0.00357399,0.00119133,0.00357399,0.00119133,0.00357399,0.00119133
44,790.802,0.56276,0.77749,0.8946,0.99212,0.97137,0.99189,0.85204,0.59613,0.51092,0.87991,0.00355701,0.00118567,0.00355701,0.00118567,0.00355701,0.00118567,0.00355701,0.00118567
45,808.316,0.5827,0.77515,0.90471,0.98786,0.97045,0.99189,0.8464,0.63776,0.53087,0.89474,0.00354003,0.00118001,0.00354003,0.00118001,0.00354003,0.00118001,0.00354003,0.00118001
46,825.597,0.57757,0.79656,0.90424,0.96515,0.99738,0.99333,0.83236,0.64521,0.53967,0.89661,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
47,842.531,0.58384,0.76329,0.89579,0.98439,0.97092,0.99333,0.85673,0.62778,0.51048,0.89244,0.00350608,0.00116869,0.00350608,0.00116869,0.00350608,0.00116869,0.00350608,0.00116869
48,859.936,0.57496,0.78004,0.90902,0.9951,0.95807,0.99062,0.85414,0.62956,0.51285,0.888,0.0034891,0.00116303,0.0034891,0.00116303,0.0034891,0.00116303,0.0034891,0.00116303
49,877.159,0.5709,0.76357,0.89766,0.99005,0.95918,0.99333,0.85352,0.61423,0.49194,0.885,0.00347213,0.00115738,0.00347213,0.00115738,0.00347213,0.00115738,0.00347213,0.00115738
50,894.646,0.58698,0.76942,0.90559,0.9807,0.99423,0.995,0.84601,0.63569,0.48543,0.89001,0.00345515,0.00115172,0.00345515,0.00115172,0.00345515,0.00115172,0.00345515,0.00115172
51,912.122,0.5341,0.67961,0.8736,0.99217,0.97436,0.99333,0.85442,0.62538,0.46493,0.88893,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
52,929.63,0.54816,0.72249,0.89356,0.99141,0.97436,0.98683,0.83842,0.62522,0.49749,0.88795,0.0034212,0.0011404,0.0034212,0.0011404,0.0034212,0.0011404,0.0034212,0.0011404
53,946.738,0.5616,0.70451,0.88494,0.96226,0.97436,0.98545,0.83386,0.65102,0.52722,0.90247,0.00340422,0.00113474,0.00340422,0.00113474,0.00340422,0.00113474,0.00340422,0.00113474
54,964.133,0.57992,0.7437,0.90247,0.98996,0.97132,0.9838,0.83701,0.62486,0.4702,0.89715,0.00338724,0.00112908,0.00338724,0.00112908,0.00338724,0.00112908,0.00338724,0.00112908
55,981.221,0.55074,0.69498,0.90276,0.99472,0.97436,0.9825,0.83962,0.61359,0.46951,0.89455,0.00337027,0.00112342,0.00337027,0.00112342,0.00337027,0.00112342,0.00337027,0.00112342
56,998.227,0.56713,0.72915,0.90415,0.98748,0.97235,0.97571,0.84052,0.6132,0.47945,0.88669,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
57,1015.65,0.54052,0.70788,0.8794,0.98525,0.97185,0.98145,0.84881,0.6162,0.46732,0.89099,0.00333631,0.0011121,0.00333631,0.0011121,0.00333631,0.0011121,0.00333631,0.0011121
58,1033.08,0.56175,0.67591,0.89349,0.99395,0.95248,0.99062,0.84558,0.61413,0.46508,0.88886,0.00331934,0.00110645,0.00331934,0.00110645,0.00331934,0.00110645,0.00331934,0.00110645
59,1050.62,0.5327,0.70071,0.88278,0.99252,0.97289,0.99189,0.84388,0.63255,0.44106,0.9035,0.00330236,0.00110079,0.00330236,0.00110079,0.00330236,0.00110079,0.00330236,0.00110079
60,1068.14,0.53877,0.68882,0.89962,0.99296,0.97436,0.99189,0.85135,0.60848,0.42609,0.89794,0.00328539,0.00109513,0.00328539,0.00109513,0.00328539,0.00109513,0.00328539,0.00109513
61,1085.66,0.53662,0.67293,0.88353,0.99268,0.97436,0.98545,0.83427,0.62578,0.44505,0.90239,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
62,1102.57,0.54222,0.67875,0.89855,0.99244,0.9675,0.98683,0.8343,0.6387,0.44422,0.90393,0.00325143,0.00108381,0.00325143,0.00108381,0.00325143,0.00108381,0.00325143,0.00108381
63,1119.8,0.53352,0.6636,0.87067,0.9895,0.96925,0.99062,0.84487,0.61894,0.41918,0.89349,0.00323446,0.00107815,0.00323446,0.00107815,0.00323446,0.00107815,0.00323446,0.00107815
64,1137.11,0.53107,0.65302,0.89121,0.99039,0.97436,0.99333,0.84875,0.62085,0.40271,0.88901,0.00321748,0.00107249,0.00321748,0.00107249,0.00321748,0.00107249,0.00321748,0.00107249
65,1154.78,0.52106,0.66577,0.89385,0.99317,0.97436,0.98852,0.84726,0.63323,0.40703,0.89072,0.0032005,0.00106683,0.0032005,0.00106683,0.0032005,0.00106683,0.0032005,0.00106683
66,1172.26,0.50983,0.63467,0.86807,0.99509,0.97436,0.98611,0.83257,0.64801,0.41215,0.90007,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
67,1189.84,0.50213,0.61095,0.87975,0.99493,0.97436,0.98333,0.83292,0.62122,0.43029,0.89592,0.00316655,0.00105552,0.00316655,0.00105552,0.00316655,0.00105552,0.00316655,0.00105552
68,1207.57,0.51757,0.6348,0.87875,0.99452,0.97436,0.9838,0.84305,0.60351,0.4239,0.88347,0.00314957,0.00104986,0.00314957,0.00104986,0.00314957,0.00104986,0.00314957,0.00104986
69,1224.73,0.51737,0.67192,0.89509,0.98592,0.95797,0.98852,0.84749,0.60861,0.42143,0.88726,0.0031326,0.0010442,0.0031326,0.0010442,0.0031326,0.0010442,0.0031326,0.0010442
70,1242.16,0.51658,0.62903,0.87983,0.97404,0.94872,0.98682,0.84985,0.58914,0.40892,0.88721,0.00311562,0.00103854,0.00311562,0.00103854,0.00311562,0.00103854,0.00311562,0.00103854
71,1262.78,0.50563,0.621,0.88037,0.9824,0.94636,0.98302,0.85079,0.58736,0.41451,0.8867,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
72,1285.52,0.52693,0.65843,0.88483,0.9918,0.94633,0.96688,0.84533,0.59513,0.45723,0.89017,0.00308167,0.00102722,0.00308167,0.00102722,0.00308167,0.00102722,0.00308167,0.00102722
73,1303.62,0.50526,0.63105,0.87688,0.99312,0.95828,0.98178,0.84469,0.62352,0.42239,0.89534,0.00306469,0.00102156,0.00306469,0.00102156,0.00306469,0.00102156,0.00306469,0.00102156
74,1321.42,0.49934,0.62177,0.89089,0.98626,0.97248,0.98683,0.83887,0.61605,0.39902,0.89687,0.00304771,0.0010159,0.00304771,0.0010159,0.00304771,0.0010159,0.00304771,0.0010159
